apiurl,domain,family,title,required_params,optional_params,response_field_count
"/future/m018/intra_info","future","m018","주기정보(10초)","cust_id, auth_key, jcode","","16"
"/future/m018/term_hist_info","future","m018","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","18"
"/future/m018/tick_info","future","m018","체결정보","cust_id, auth_key, jcode","","25"
"/future/m019/basic_info","future","m019","기본정보","cust_id, auth_key, jcode","","38"
"/future/m019/basic_info_port","future","m019","기본정보","cust_id, auth_key, codelist","","38"
"/future/m019/code_info","future","m019","코드정보","cust_id, auth_key","","8"
"/future/m019/hist_info","future","m019","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m019/hoga_info","future","m019","호가정보","cust_id, auth_key, jcode","","24"
"/future/m019/intra_date","future","m019","주기정보(10초)","cust_id, auth_key, jcode, edate","","18"
"/future/m019/intra_info","future","m019","주기정보(10초)","cust_id, auth_key, jcode","","16"
"/future/m019/term_hist_info","future","m019","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","18"
"/future/m019/tick_info","future","m019","체결정보","cust_id, auth_key, jcode","","25"
"/future/m062/basic_info","future","m062","기본정보","cust_id, auth_key, jcode","","39"
"/future/m062/basic_info_port","future","m062","기본정보","cust_id, auth_key, codelist","","39"
"/future/m062/code_info","future","m062","코드정보","cust_id, auth_key","","8"
"/future/m062/hist_info","future","m062","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m062/hoga_info","future","m062","호가정보","cust_id, auth_key, jcode","","24"
"/future/m062/intra_date","future","m062","주기정보(10초)","cust_id, auth_key, jcode, edate","","18"
"/future/m062/intra_info","future","m062","주기정보(10초)","cust_id, auth_key, jcode","","16"
"/future/m062/invest_basic_info","future","m062","기본정보","cust_id, auth_key","","40"
"/future/m062/invest_hist_info","future","m062","기본정보","cust_id, auth_key, sdate, edate","","41"
"/future/m062/invest_intra_info","future","m062","주기정보(30초)","cust_id, auth_key","","41"
"/future/m062/term_hist_info","future","m062","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","18"
"/future/m062/tick_info","future","m062","체결정보","cust_id, auth_key, jcode","","25"
"/future/m067/basic_info","future","m067","기본정보","cust_id, auth_key, jcode","","38"
"/future/m067/basic_info_port","future","m067","기본정보","cust_id, auth_key, codelist","","38"
"/future/m067/code_info","future","m067","코드정보","cust_id, auth_key","","8"
"/future/m067/hist_info","future","m067","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m067/hoga_info","future","m067","호가정보","cust_id, auth_key, jcode","","24"
"/future/m067/hoga_info_port","future","m067","호가정보(복수종목)","cust_id, auth_key, codelist","","24"
"/future/m067/hoga_info_port_top","future","m067","호가정보(복수종목_최우선)","cust_id, auth_key, codelist","","6"
"/future/m067/intra_date","future","m067","주기정보(10초)","cust_id, auth_key, jcode, edate","","18"
"/future/m067/intra_info","future","m067","주기정보(10초)","cust_id, auth_key, jcode","","16"
"/future/m067/invest_basic_info","future","m067","기본정보","cust_id, auth_key","","40"
"/future/m067/invest_hist_info","future","m067","기본정보","cust_id, auth_key, sdate, edate","","41"
"/future/m067/invest_intra_info","future","m067","주기정보(30초)","cust_id, auth_key","","41"
"/future/m067/term_hist_info","future","m067","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","18"
"/future/m067/tick_info","future","m067","체결정보","cust_id, auth_key, jcode","","25"
"/future/m091/basic_info","future","m091","기본정보","cust_id, auth_key, jcode","","38"
"/future/m091/basic_info_port","future","m091","기본정보","cust_id, auth_key, codelist","","38"
"/future/m091/code_info","future","m091","코드정보","cust_id, auth_key","","8"
"/future/m091/hist_info","future","m091","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m091/hoga_info","future","m091","호가정보","cust_id, auth_key, jcode","","24"
"/future/m091/hoga_info_port","future","m091","호가정보(복수종목)","cust_id, auth_key, codelist","","24"
"/future/m091/hoga_info_port_top","future","m091","호가정보(복수종목_최우선)","cust_id, auth_key, codelist","","6"
"/future/m091/intra_date","future","m091","주기정보(10초)","cust_id, auth_key, jcode, edate","","22"
"/future/m091/intra_info","future","m091","주기정보(10초)","cust_id, auth_key, jcode","","20"
